,Gene,Tissue,Condition,Average_Spearman,Degree,WeightedDegree
5994,FBgn0032189,head,ctrl,0.14777831872830835,908,0.14777831872830835
5995,FBgn0026666,head,ctrl,0.16198746110353598,1464,0.16198746110353598
5996,FBgn0261545,head,ctrl,0.16278566637739159,1546,0.16278566637739159
5997,FBgn0000447,head,ctrl,0.18606407898447055,2266,0.18606407898447055
5998,FBgn0028644,head,ctrl,0.18162071926719905,2173,0.18162071926719905
5999,FBgn0022986,head,ctrl,0.13823240320419453,292,0.13823240320419453
6000,FBgn0029833,head,ctrl,0.15039331883321663,983,0.15039331883321663
6001,FBgn0028693,head,ctrl,0.17366254329708747,1875,0.17366254329708747
6002,FBgn0037046,head,ctrl,0.13821350766798438,388,0.13821350766798438
6003,FBgn0034246,head,ctrl,0.13977520991250966,444,0.13977520991250966
6004,FBgn0013676,head,ctrl,0.22373810829827828,3287,0.22373810829827828
6005,FBgn0036279,head,ctrl,0.16163622611866488,1706,0.16163622611866488
6006,FBgn0267428,head,ctrl,0.19573534662278932,2429,0.19573534662278932
6007,FBgn0261561,head,ctrl,0.1477790182941491,568,0.1477790182941491
6008,FBgn0267733,head,ctrl,0.13721214556165606,207,0.13721214556165606
6009,FBgn0034650,head,ctrl,0.13414465170614845,209,0.13414465170614845
6010,FBgn0033259,head,ctrl,0.1553484288517829,131,0.1553484288517829
6011,FBgn0034067,head,ctrl,0.15372356770331747,828,0.15372356770331747
6012,FBgn0262955,head,ctrl,0.14871347203987326,818,0.14871347203987326
6013,FBgn0027567,head,ctrl,0.17128371465730705,1477,0.17128371465730705
6014,FBgn0266696,head,ctrl,0.22463148196868613,3478,0.22463148196868613
6015,FBgn0086686,head,ctrl,0.22447218502281588,3128,0.22447218502281588
6016,FBgn0039688,head,ctrl,0.13924969662351505,464,0.13924969662351505
6017,FBgn0032643,head,ctrl,0.15266653603423,1078,0.15266653603423
6018,FBgn0027535,head,ctrl,0.1521203777720475,911,0.1521203777720475
6019,FBgn0259170,head,ctrl,0.2402826461028077,3632,0.2402826461028077
6020,FBgn0260972,head,ctrl,0.17971150995463508,2230,0.17971150995463508
6021,FBgn0010217,head,ctrl,0.20535635853471693,2733,0.20535635853471693
6022,FBgn0004556,head,ctrl,0.158573051267282,1336,0.158573051267282
