tissue,Geneid,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,SYMBOL
body,FBgn0016054,56.103880834730326,-0.16469825362398796,0.1548933525502901,-1.0633009803988487,0.287645480723475,0.4183934265068728,phr6-4
body,FBgn0032882,19.1084015469788,1.2186340351739187,0.200274711518804,6.084812335677737,1.166278347899607e-9,1.9381862853754296e-8,Ns4
body,FBgn0011202,60.94705290519051,0.1287480189300669,0.12358939278524009,1.0417400395662668,0.29753222013733616,0.4287651716887994,dia
body,FBgn0000251,193.9377380883405,0.18906494112777245,0.07782823266198542,2.4292590832544976,0.015129716374747247,0.04024417275799853,cad
body,FBgn0032884,651.3830005526858,-0.45597176203589307,0.048904392210875926,-9.323738450111824,1.123116826103096e-20,7.704103505013579e-19,Pomp
body,FBgn0032886,135.30342529597397,-0.1311987856488073,0.09515330085086963,-1.3788148648088463,0.16795184236552266,0.2786159316447918,CG9328
body,FBgn0032889,263.245832391421,-0.1861207707277653,0.0811049962660486,-2.2948126415940346,0.02174386386112254,0.054511832883560714,CG9331
body,FBgn0051673,159.2639197758704,0.14099173829909542,0.07811948999738245,1.8048215407425166,0.07110261248420527,0.14408222668075285,CG31673
body,FBgn0051676,28.303335499354183,0.28985425518529645,0.1765911222913317,1.6413863359852745,0.10071724445846267,0.188676581135435,CG31676
body,FBgn0032897,371.4101429003665,0.3302500267949108,0.072473885117637,4.556814171875302,5.193533353864378e-6,3.958380977035167e-5,CG9336
body,FBgn0032899,57.34271509127514,0.05937396322593453,0.14200391215485592,0.4181149823618025,0.6758630512969181,0.7673392815355049,CG9338
body,FBgn0032900,25.255977390364766,0.40110655306264853,0.19906291259241526,2.01497379817767,0.04390739454319667,0.09776066298844342,CG14401
body,FBgn0032906,266.09205000506057,0.10100720303589754,0.07316762385867456,1.3804904096789579,0.16743570045902698,0.2779674038516493,NA
body,FBgn0032883,42.711938387153474,0.3229953288033383,0.14974446381851592,2.1569767627255674,0.03100747505943502,0.07345194679766238,Rhau
body,FBgn0032881,80.74807862342047,-0.03995023029564251,0.11159595341633803,-0.3579899545873108,0.7203508311302695,0.8006933561675537,Amacr
body,FBgn0032913,46.66757716971683,0.05821097516679401,0.1475393944587864,0.3945453035125113,0.6931784866563981,0.7816745159077397,CG9259
body,FBgn0032919,147.26780900218697,-0.10741145708859229,0.07724920110388642,-1.3904539536162064,0.16439107255993324,0.2742544982836868,pths
body,FBgn0032921,26.257189087608552,0.2041592696356799,0.19141509360162412,1.0665787414893162,0.28616210431186484,0.4165176633415134,Mpp6
body,FBgn0032923,17.821895598818006,1.5160283373971601,0.1957356074785594,7.745286393857714,9.53666478240424e-15,3.270873112603327e-13,Pld3
body,FBgn0032925,58.901262645991366,0.6107315939903797,0.13710429492104292,4.454503736313252,8.408746486716023e-6,6.024399705149435e-5,CG9246
body,FBgn0010100,610.3800674010091,0.2222282212079999,0.0531313848487247,4.182616768614756,2.8817292387948077e-5,1.7935704760375405e-4,mAcon1
body,FBgn0026577,104.7881522835461,-0.04754299382038819,0.11418316737760673,-0.41637480297916646,0.6771357633447118,0.7684215772697468,CG8677
body,FBgn0021856,146.5137670076152,-0.7252814806936577,0.08684984732813941,-8.350981642528069,6.769794347080337e-17,3.0313634687481955e-15,l(2)k14505
body,FBgn0032938,106.74104190335035,-0.16134552891160972,0.0972820863164138,-1.6585327784483062,0.09720997714458178,0.18338500076894773,CG8671
body,FBgn0032935,24.6336533265954,-0.15873687000278686,0.18062395573249365,-0.8788251223878529,0.3794961025707443,0.5126467946745663,Atg18b
body,FBgn0000239,157.13909221431078,0.2128460431660126,0.08434156914009358,2.5236196733839478,0.011615351780958688,0.03244532422500373,bur
body,FBgn0032924,17.054827448934013,1.730134509897424,0.19635394473814907,8.811305075661569,1.2369722312722263e-18,6.591733014250673e-17,Nbr
body,FBgn0024371,200.32146318877884,-0.5899632182219886,0.08394001822239053,-7.028390399665404,2.0892964020122646e-12,5.732673702202162e-11,E2f2
body,FBgn0023388,55.08652828633403,0.06712036147284077,0.12580775890625542,0.5335152780430255,0.5936769379676561,0.7007044121838932,Dap160
body,FBgn0032943,68.48224791069474,0.16147527006770238,0.10824082397990387,1.491814863657007,0.1357476862649304,0.23720896505048,Tsp39D
body,FBgn0032945,91.81219658051519,-3.77839677876562,0.18282809347764525,-20.666390525084218,6.952541354189065e-95,4.4829986651811094e-91,CG8665
body,FBgn0032946,72.89258415556121,0.12094402511449488,0.14611009709463593,0.8277595287350955,0.40780669886001586,0.5393923270255143,nrv3
body,FBgn0032940,131.55526366496028,0.22335454102388871,0.08531679568465561,2.6179433865453934,0.00884614802243904,0.025786601468664978,Mondo
body,FBgn0003885,202.38899390816275,0.15888487748909969,0.07163992456485963,2.217825862522403,0.026566708004859125,0.06452057748223414,alphaTub84D
body,FBgn0015568,95.54825121635508,0.38261362664729565,0.10420175520127008,3.6718539520592652,2.407972857509266e-4,0.0011762582564560414,alpha-Est1
body,FBgn0015575,188.96371522467714,-0.5256806117699484,0.10071906537352866,-5.219276110440453,1.7962380835135261e-7,1.9049577569893447e-6,alpha-Est7
body,FBgn0015576,29.54916667570077,-0.008214162574042064,0.18251694200655597,-0.045004932055825335,0.964103377727347,0.9744991893802833,alpha-Est8
body,FBgn0015577,21.07160459219164,0.17842250513741328,0.19627768314287003,0.9090310333831483,0.36333374488386566,0.49591734215519634,alpha-Est9
body,FBgn0015569,46.48177729678183,0.31678852225153614,0.14904154169745068,2.125504866922312,0.033544508397622914,0.07825433796956315,alpha-Est10
body,FBgn0037504,87.175706604204,0.11515580820311924,0.10027269923622259,1.1484263321947183,0.250792608397273,0.3775649635642345,CG1142
body,FBgn0037478,39.1744654370953,0.12716208955199815,0.14778095788102286,0.860476825805766,0.3895262526128434,0.5221757332323522,CG2656
body,FBgn0011020,48.7542494374665,0.19194178419520633,0.14772369507844824,1.2993296985515845,0.19383080650959053,0.31090075631190045,Sas-4
body,FBgn0037490,42.43410992635833,-0.40995390805118515,0.15318729092461375,-2.67616135501039,0.0074470782464170935,0.02231355043350252,CG10053
body,FBgn0037491,45.920128682659346,0.2671959716397885,0.1331322908794823,2.0069959727626636,0.04475009179702528,0.09932825883208915,CG1227
body,FBgn0037489,65.74345073955654,0.6026824049145857,0.1194606148447278,5.045030160760001,4.534498341119183e-7,4.416683580594636e-6,CG1234
body,FBgn0037482,64.59207821213386,0.25355889349746136,0.13085105956416315,1.9377672167272602,0.05265162910152216,0.1138108295161297,CG10055
body,FBgn0037481,131.0880310530487,-0.004153069233850497,0.08482780148772538,-0.04895882200190521,0.9609521118440665,0.9730261653663901,MAGE
body,FBgn0037473,17.908725048385993,0.5935049889436903,0.2036384595202061,2.914503430943503,0.0035625489284366206,0.012115672727088255,CG10068
body,FBgn0024289,158.79107933153284,-2.166365531831517,0.1525699537393586,-14.199162277602879,9.27140927540233e-46,5.9782047007794224e-43,Sodh-1
body,FBgn0037466,58.00472527034289,-0.5889793082985008,0.13153254512665796,-4.477821878466268,7.5408478029235965e-6,5.487966888628821e-5,CG1965
body,FBgn0037468,810.8099629860394,0.2463186177631563,0.050011229727039905,4.925266167369958,8.42456001413702e-7,7.738114383355485e-6,CG1943
body,FBgn0037469,62.98108904449338,-0.3040410418341291,0.12474477381716752,-2.4373048467725598,0.014797198931260466,0.039590182036832976,Dpck
body,FBgn0003884,3339.681535980638,0.12953456762876644,0.028651691269094833,4.521009472431702,6.154543384162333e-6,4.5509742822337983e-5,alphaTub84B
body,FBgn0037470,156.0379230148501,0.2662658446920571,0.07806038356017864,3.4110240373951832,6.471938567731856e-4,0.0028243218411941264,Tailor
body,FBgn0010774,326.82590997644206,0.6108114425432776,0.07395095912968704,8.259682494071562,1.4606046288491212e-16,6.2370719515358505e-15,Ref1
body,FBgn0037467,28.560730969139254,0.4538011707161774,0.1739396523601813,2.6089575583172935,0.009081850553874813,0.026390163303913833,Ufl1
body,FBgn0000166,97.65305317407588,-0.13078916410407787,0.1305315460586631,-1.0019736075545982,0.31635633986914624,0.4486179193921827,bcd
body,FBgn0010355,64.23390122635065,0.042791056220729075,0.11709863938776871,0.36542744172310787,0.7147923599985878,0.7971257587808535,Taf1
body,FBgn0026566,320.6954822011698,0.325660919982115,0.059157431968312094,5.504987440235007,3.6919458916416237e-8,4.5086490737320437e-7,CG1307
body,FBgn0037433,23.88116187793112,0.17977459295607992,0.20956759296140517,0.8578358438710891,0.3909831142527201,0.5233670584807015,CG17919
body,FBgn0037435,48.078903730997766,0.10236129574500184,0.13570532751180778,0.754290915631852,0.45067455597486344,0.5771498583765481,CG18048
body,FBgn0037439,85.15257917451716,0.5454855372104715,0.10757105218842383,5.070932431291896,3.9587131577837554e-7,3.897066021586207e-6,CG10286
body,FBgn0010282,193.97279976739867,-0.10042475298645039,0.07562556658674788,-1.3279206691464067,0.18420431574667145,0.2989553052943714,TfIIFalpha
body,FBgn0037442,119.43933738474097,0.1265049002587712,0.08732175489504901,1.4487214601998775,0.14741538487054553,0.25219803705101557,gzl
body,FBgn0037446,68.79033988498952,0.042457114307182936,0.11402789073132427,0.37233973227849654,0.7096399197143723,0.7930256849771704,Zif
body,FBgn0037447,23.058198637816535,0.4534023717522624,0.2009679065988094,2.256093420216522,0.024064781123845927,0.05936102092064213,Neurochondrin
body,FBgn0037445,42.49545175151375,0.20008443954218874,0.14782485376188814,1.3535236765021854,0.175888391369221,0.28824370320248527,CG9727
body,FBgn0037443,136.5357141357673,0.06550228152995419,0.08104908150007098,0.8081804299027969,0.4189867219071157,0.5502294058772061,Dmtn
body,FBgn0037440,38.88509961310186,0.26522758642880684,0.15364880443612663,1.726193623192588,0.08431258488453475,0.16424397200467675,CRAT
body,FBgn0037515,41.65056717025467,-0.21249318138766926,0.1580139747412862,-1.3447746108252832,0.1786980316811339,0.291809756002236,Sp7
body,FBgn0037517,20.23594290069151,-0.2466143938579872,0.22060158185550852,-1.117917613208761,0.2636021818135383,0.3910068710222441,CG10086
body,FBgn0051472,112.3353385376394,-0.5672805880657303,0.09666266596084258,-5.868662760610514,4.393239954098047e-9,6.438093460005501e-8,sgll
body,FBgn0024909,48.78397224808947,0.4794790380759514,0.14089978463574884,3.4029792118951105,6.66553518049051e-4,0.002894233726855408,Taf7
