Geneid,SYMBOL,tissue,betahat,sebetahat,NegativeProb,PositiveProb,lfsr,svalue,lfdr,qvalue,PosteriorMean,PosteriorSD
FBgn0036460,CG5114,head,-0.4513280027844055,0.15889475461205618,0.9893036155422591,0.007971347347942269,0.010696384457740904,0.0015130337373068876,0.002725037109798635,4.20096846936312e-4,-0.3271684665037742,0.13907714914611885
FBgn0002778,mnd,head,-0.027389596414038292,0.10760315583662686,0.5557517059000283,0.3823505479627608,0.4442482940999717,0.12116722473472605,0.06189774613721087,0.020342833009575564,-0.02168048539263153,0.09589938938029587
FBgn0036461,Zip71B,head,-0.026254900873634635,0.1749419033889162,0.5246842685121066,0.4309965794527538,0.4753157314878934,0.13221851525251063,0.044319152035139614,0.01423258532673707,-0.016929431095000034,0.140532949176614
FBgn0023174,Prosbeta2,head,0.006943648929140206,0.1550831115463836,0.46137168246002797,0.4902818458819784,0.5097181541180216,0.14356272434549533,0.04834647165799361,0.016265947478194362,0.004785949054670856,0.12875714637348576
FBgn0027088,GlyRS,head,-0.24199026298780457,0.1294964428772144,0.9379125631301062,0.04764459334815167,0.06208743686989382,0.011637790165562392,0.014442843521742145,0.003017478716074433,-0.18891974598433905,0.11710504719749555
FBgn0036484,Pex3,head,-0.17678585360826093,0.1183803653359648,0.8891650605694558,0.08628999874910595,0.11083493943054423,0.023216175287190294,0.02454494068143829,0.005873009591572456,-0.1411714063674893,0.10831191590270553
FBgn0047178,CG32147,head,0.1037836077654599,0.1459383796946302,0.25803297554928056,0.6998159072099349,0.3001840927900652,0.07347732919560683,0.04215111724078461,0.012948001775270085,0.07435868162108114,0.12459839284147062
FBgn0014002,NA,head,-0.03545916886777087,0.07173861113435719,0.6280753296895,0.2920433346357163,0.3719246703105,0.09554303429363452,0.07988133567478373,0.02273971639791604,-0.030131964773070556,0.06672610727020435
FBgn0036483,CG12316,head,0.13678351136277078,0.15826232609587956,0.22373240240370657,0.7393476574503668,0.26065234254963315,0.06170165587183422,0.036919940145926575,0.010297909863383553,0.09447754643248839,0.13299877620932185
FBgn0036463,Reck,head,-0.23973157911812343,0.17357298879588268,0.8514424937939927,0.12457662046325975,0.14855750620600727,0.031307163951461416,0.023980885742747527,0.005770446664356421,-0.1593542457161543,0.14434589277637314
FBgn0036462,mRpL39,head,-0.25354608818462276,0.14182603725322218,0.9253773875754754,0.05874112115218406,0.07462261242452461,0.014289034096495666,0.015881491272340557,0.0034288262308251665,-0.18994090579525216,0.1256506158436787
FBgn0036433,CG9628,head,0.21870235077500239,0.07436946478380876,0.0024051235884006237,0.9958297639335495,0.004170236066450565,5.71145617259785e-4,0.0017651124780499409,2.6064372147819844e-4,0.20075915925746168,0.07185442117132906
FBgn0041604,dlp,head,0.00798834620352442,0.09329810936819137,0.43480809709758517,0.4941904346871455,0.5058095653128545,0.1429010989975826,0.0710014682152693,0.021776983248395058,0.006512143303825027,0.0842571257636881
FBgn0036446,Mgat4a,head,0.3553172122361074,0.09159128289303432,1.3292920194360545e-4,0.9997661978920541,2.3380210794586264e-4,2.6463410297643453e-5,1.0087290600225719e-4,1.1902107461240072e-5,0.3148379856834521,0.0867913033890104
FBgn0036450,Tdrd3,head,-0.02352683431437326,0.13156100627017925,0.5326124152239569,0.4136005241143771,0.46738758477604314,0.12912920681848838,0.05378706066166605,0.018389180264928705,-0.017454587317659368,0.11339848448808351
