Geneid,SYMBOL,tissue,betahat,sebetahat,NegativeProb,PositiveProb,lfsr,svalue,lfdr,qvalue,PosteriorMean,PosteriorSD
FBgn0086370,sra,body,0.20396052798813802,0.1865020102443936,0.17085734774371644,0.6374695869404904,0.3625304130595096,0.195594276179309,0.19167306531579317,0.12437852967217579,0.08987288741197653,0.13263191500736293
FBgn0086371,poly,body,-0.1451528476055759,0.16213687011433153,0.5914192712534433,0.1906202878074418,0.4085807287465567,0.2299490167511063,0.2179604409391149,0.15552033112911465,-0.06891691141711585,0.1181340864550043
FBgn0086372,lap,body,-0.05863992689761144,0.1626114177683468,0.45480442452314634,0.29092502598547815,0.5451955754768536,0.33736845820443784,0.25427054949137545,0.16765877255861195,-0.026357567963887753,0.110207182167089
FBgn0086378,Alg-2,body,-0.2557927383845222,0.11209693782705361,0.9187305799236004,0.022005920743274975,0.08126942007639959,0.025718430042499487,0.059263499333124615,0.02066136602659699,-0.1847429573803469,0.10741275006827611
FBgn0086384,Mer,body,0.10214396940390058,0.2199209386638601,0.29270286961153524,0.48414704489910243,0.5158529551008976,0.31365099984892736,0.22315008548936235,0.15834606311118296,0.03674556847703761,0.13369550928333226
FBgn0086408,stl,body,-0.39933937368659966,0.42116954382848815,0.5428789705893118,0.2748687669622772,0.4571210294106882,0.26645201727229856,0.18225226244841103,0.112259924034953,-0.06847712813865885,0.18163061219783605
FBgn0086442,mib2,body,0.318234375484993,0.21326014714429906,0.12841456800013168,0.7197363226765577,0.2802636773234423,0.1350623468497837,0.15184910932331064,0.08091480177178814,0.13192394905835703,0.15165011088359936
FBgn0086443,AsnRS,body,-0.3690540137128928,0.15374784499914768,0.9188447337361156,0.026240423990253392,0.08115526626388436,0.0255142726083998,0.05491484227363097,0.01856054972767801,-0.22763602983664993,0.13704069218929288
FBgn0086444,l(2)37Cb,body,-0.13586681308769633,0.4244561160476485,0.44793851270005924,0.3573981630037948,0.5520614872999408,0.3434229913881623,0.19466332429614597,0.12940413653733657,-0.022224241577985842,0.1724402525495786
FBgn0086445,l(2)37Cd,body,-0.16402919648688763,0.3792094234254293,0.4677773184568641,0.3355326850061524,0.5322226815431359,0.3257357097864282,0.19668999653698346,0.13323113456673052,-0.03147919643437209,0.1675173519944524
FBgn0086446,DCTN6-p27,body,0.5556980580047686,0.32726167238996084,0.1537506160353369,0.7016332962701766,0.2983667037298235,0.14673854364750694,0.14461608769448658,0.07445593126643008,0.14713150958468768,0.190838011625036
FBgn0086447,Polr1D,body,0.30365079116267224,0.4030642814180488,0.2957791693420273,0.5159170630803858,0.4840829369196142,0.28862531915998363,0.18830376757758688,0.1198268276553295,0.05452566398203993,0.17516501531822826
FBgn0086448,PIG-Q,body,0.28906546844076364,0.407558354851826,0.3025267624534921,0.5083132202555232,0.49168677974447683,0.29446559865325933,0.18916001729098478,0.1207251111595286,0.050962289108082905,0.17499040282252026
