	Nested_Level	Block	Path	Direction	N_genes	Internal_degree	Average_internal_degree	Total_degree	Average_total_degree	Assortativity
104	1	104	104-3-3-2-0	decohere	114	62.0	0.543859649122807	11135.0	97.67543859649123	-0.039583146233761995
105	1	105	105-4-4-3-1	decohere	4	2.0	0.5	2954.0	738.5	-0.0034731230711000124
106	1	106	106-30-13-0-0	decohere	52	10.0	0.19230769230769232	3202.0	61.57692307692308	-0.001856059059100778
107	1	107	107-36-12-4-0	decohere	54	0.0	0.0	295.0	5.462962962962963	-4.043765937832849e-05
108	1	108	108-41-11-1-1	decohere	18	0.0	0.0	534.0	29.666666666666668	-0.00013250262795388266
109	1	109	109-30-13-0-0	decohere	22	22.0	1.0	6201.0	281.8636363636364	-0.011469786960787784
110	1	110	110-32-12-4-0	decohere	42	0.0	0.0	110.0	2.619047619047619	-5.622472605317722e-06
111	1	111	111-18-11-1-1	decohere	38	18.0	0.47368421052631576	986.0	25.94736842105263	0.004782800465093479
112	1	112	112-21-7-3-1	decohere	20	88.0	4.4	12274.0	613.7	-0.044411483615619814
113	1	113	113-41-11-1-1	decohere	78	2.0	0.02564102564102564	219.0	2.8076923076923075	0.0005593305447843689
114	1	114	114-22-8-3-1	decohere	96	16.0	0.16666666666666666	5638.0	58.729166666666664	-0.010117463809083717
115	1	115	115-3-3-2-0	decohere	57	60.0	1.0526315789473684	8279.0	145.24561403508773	-0.014400649035132877
116	1	116	116-33-1-1-1	decohere	50	126.0	2.52	2986.0	59.72	0.032498772667666986
117	1	117	117-5-5-3-1	decohere	34	0.0	0.0	152.0	4.470588235294118	-1.0735670006054597e-05
118	1	118	118-31-12-4-0	decohere	54	12.0	0.2222222222222222	695.0	12.87037037037037	0.003265252824206897
119	1	119	119-25-11-1-1	decohere	40	6.0	0.15	1185.0	29.625	0.001092352099780268
120	1	120	120-1-1-1-1	decohere	81	12.0	0.14814814814814814	970.0	11.975308641975309	0.003052493349482942
121	1	121	121-3-3-2-0	decohere	121	14.0	0.11570247933884298	4303.0	35.56198347107438	-0.00453237321191684
122	1	122	122-39-5-3-1	decohere	36	4.0	0.1111111111111111	1460.0	40.55555555555556	0.0001727483797961784
123	1	123	123-39-5-3-1	decohere	38	0.0	0.0	439.0	11.552631578947368	-8.955111925367245e-05
124	1	124	124-17-10-0-0	decohere	17	0.0	0.0	1337.0	78.6470588235294	-0.0008306246060012557
125	1	125	125-29-2-1-1	decohere	18	4.0	0.2222222222222222	3331.0	185.05555555555554	-0.003992509897694437
126	1	126	126-7-7-3-1	decohere	20	0.0	0.0	2760.0	138.0	-0.003539648538699857
127	1	127	127-27-4-3-1	decohere	46	4.0	0.08695652173913043	2639.0	57.369565217391305	-0.0020728583500917276
128	1	128	128-14-9-2-0	decohere	69	30.0	0.43478260869565216	4946.0	71.68115942028986	-0.002642866946154625
129	1	129	129-19-5-3-1	decohere	22	10.0	0.45454545454545453	479.0	21.772727272727273	0.0028014685343418044
130	1	130	130-34-2-1-1	decohere	34	164.0	4.823529411764706	18931.0	556.7941176470588	-0.11883615023954038
131	1	131	131-18-11-1-1	decohere	65	118.0	1.8153846153846154	1639.0	25.215384615384615	0.03306712518998068
132	1	132	132-7-7-3-1	decohere	34	0.0	0.0	2990.0	87.94117647058823	-0.0041541708544463605
133	1	133	133-3-3-2-0	decohere	40	90.0	2.25	8246.0	206.15	-0.005423007722635977
134	1	134	134-8-8-3-1	decohere	134	6.0	0.04477611940298507	4165.0	31.082089552238806	-0.00631583639167266
135	1	135	135-30-13-0-0	decohere	37	6.0	0.16216216216216217	495.0	13.378378378378379	0.001630994268712855
