,Gene,Tissue,Condition,Average_Spearman,Degree,WeightedDegree
4128,FBgn0036512,head,hs,0.12869565673846745,259,0.12869565673846745
4129,FBgn0040972,head,hs,0.17831543084924462,1491,0.17831543084924462
4130,FBgn0039915,head,hs,0.14482486383233215,804,0.14482486383233215
4131,FBgn0264672,head,hs,0.11838007298920562,34,0.11838007298920562
4132,FBgn0032810,head,hs,0.13760761807110633,384,0.13760761807110633
4133,FBgn0036018,head,hs,0.12940953897239443,309,0.12940953897239443
4134,FBgn0265082,head,hs,0.23123578483313031,3559,0.23123578483313031
4135,FBgn0031805,head,hs,0.14413679911922375,706,0.14413679911922375
4136,FBgn0036641,head,hs,0.14236450564153189,1372,0.14236450564153189
4137,FBgn0039807,head,hs,0.14551272673485807,509,0.14551272673485807
4138,FBgn0038675,head,hs,0.13331073831195903,596,0.13331073831195903
4139,FBgn0035523,head,hs,0.13780196650530463,611,0.13780196650530463
4140,FBgn0086384,head,hs,0.12614649920551887,119,0.12614649920551887
4141,FBgn0031858,head,hs,0.19435061506704487,2766,0.19435061506704487
4142,FBgn0082585,head,hs,0.14375428849988478,706,0.14375428849988478
4143,FBgn0259139,head,hs,0.1624060163844905,1571,0.1624060163844905
4144,FBgn0005411,head,hs,0.1615101769841829,1987,0.1615101769841829
4145,FBgn0038983,head,hs,0.13129773552359594,502,0.13129773552359594
4146,FBgn0034351,head,hs,0.12916694632917688,316,0.12916694632917688
4147,FBgn0036787,head,hs,0.20387206922433004,2848,0.20387206922433004
4148,FBgn0032685,head,hs,0.14616841717977083,1292,0.14616841717977083
4149,FBgn0033155,head,hs,0.1426362558665332,1419,0.1426362558665332
4150,FBgn0032282,head,hs,0.15145414719836056,1061,0.15145414719836056
4151,FBgn0004066,head,hs,0.14925955395815904,1471,0.14925955395815904
4152,FBgn0000451,head,hs,0.16442352887106781,1641,0.16442352887106781
4153,FBgn0005616,head,hs,0.13855029063322916,929,0.13855029063322916
4154,FBgn0036663,head,hs,0.23595366413854627,3682,0.23595366413854627
4155,FBgn0015331,head,hs,0.1220386149114775,89,0.1220386149114775
4156,FBgn0263863,head,hs,0.15495203069517327,1571,0.15495203069517327
4157,FBgn0043903,head,hs,0.13512615027313768,685,0.13512615027313768
4158,FBgn0265457,head,hs,0.17856439218640296,2044,0.17856439218640296
4159,FBgn0025839,head,hs,0.1772793545779147,2330,0.1772793545779147
4160,FBgn0000084,head,hs,0.16463552197448936,1946,0.16463552197448936
4161,FBgn0023528,head,hs,0.13751678742811466,772,0.13751678742811466
4162,FBgn0015925,head,hs,0.12348969369285462,134,0.12348969369285462
4163,FBgn0030944,head,hs,0.16436916448650038,1978,0.16436916448650038
4164,FBgn0038787,head,hs,0.14829328244229392,1343,0.14829328244229392
4165,FBgn0039214,head,hs,0.18631202709210307,2687,0.18631202709210307
4166,FBgn0039633,head,hs,0.19887431696099084,3075,0.19887431696099084
4167,FBgn0020617,head,hs,0.16165986370322322,1500,0.16165986370322322
4168,FBgn0037026,head,hs,0.12739733766083705,411,0.12739733766083705
4169,FBgn0023522,head,hs,0.12722313958157788,269,0.12722313958157788
4170,FBgn0016075,head,hs,0.14360849172455556,796,0.14360849172455556
4171,FBgn0051300,head,hs,0.12395426439733392,165,0.12395426439733392
4172,FBgn0013973,head,hs,0.16855025044435337,2061,0.16855025044435337
4173,FBgn0020440,head,hs,0.1315945394761443,737,0.1315945394761443
4174,FBgn0026602,head,hs,0.11878853600752917,26,0.11878853600752917
4175,FBgn0005536,head,hs,0.20893868303725316,3434,0.20893868303725316
4176,FBgn0039860,head,hs,0.1180545210751875,25,0.1180545210751875
4177,FBgn0040717,head,hs,0.13382189836029143,682,0.13382189836029143
4178,FBgn0038039,head,hs,0.1218109530046554,146,0.1218109530046554
4179,FBgn0027090,head,hs,0.13048949358713846,418,0.13048949358713846
4180,FBgn0031801,head,hs,0.12677347399596423,57,0.12677347399596423
4181,FBgn0032077,head,hs,0.12463940044126938,264,0.12463940044126938
4182,FBgn0051708,head,hs,0.19288274209156836,2728,0.19288274209156836
4183,FBgn0029801,head,hs,0.13826057922026935,287,0.13826057922026935
4184,FBgn0028694,head,hs,0.16057126668153043,1743,0.16057126668153043
4185,FBgn0051637,head,hs,0.1944633804217991,3094,0.1944633804217991
4186,FBgn0033984,head,hs,0.13395257090182486,555,0.13395257090182486
4187,FBgn0016126,head,hs,0.17946391839644682,2105,0.17946391839644682
4188,FBgn0037344,head,hs,0.17198180781402594,2135,0.17198180781402594
4189,FBgn0261611,head,hs,0.15751730990193466,1652,0.15751730990193466
4190,FBgn0036032,head,hs,0.2000331168974556,2659,0.2000331168974556
4191,FBgn0034733,head,hs,0.13743628652814505,485,0.13743628652814505
4192,FBgn0037363,head,hs,0.1826916757509168,2481,0.1826916757509168
4193,FBgn0031955,head,hs,0.1594081916368595,1573,0.1594081916368595
4194,FBgn0264357,head,hs,0.1955056986145004,2972,0.1955056986145004
4195,FBgn0037536,head,hs,0.1534029054430612,1432,0.1534029054430612
4196,FBgn0039239,head,hs,0.15876962866871408,1760,0.15876962866871408
4197,FBgn0005658,head,hs,0.17848517475998812,2374,0.17848517475998812
4198,FBgn0031745,head,hs,0.14136346191004306,815,0.14136346191004306
4199,FBgn0037670,head,hs,0.12743586758513156,265,0.12743586758513156
4200,FBgn0034858,head,hs,0.13512299611081954,883,0.13512299611081954
4201,FBgn0026575,head,hs,0.18823429967907773,2969,0.18823429967907773
4202,FBgn0250906,head,hs,0.1802968035292816,2323,0.1802968035292816
4203,FBgn0031980,head,hs,0.22746935165461238,3474,0.22746935165461238
4204,FBgn0033518,head,hs,0.15781093759056197,1935,0.15781093759056197
4205,FBgn0037317,head,hs,0.1208312137347421,58,0.1208312137347421
4206,FBgn0005278,head,hs,0.18940110158291099,2238,0.18940110158291099
4207,FBgn0261260,head,hs,0.22719774115539926,3253,0.22719774115539926
4208,FBgn0037647,head,hs,0.1332014653347742,458,0.1332014653347742
4209,FBgn0039131,head,hs,0.12838813196386475,196,0.12838813196386475
4210,FBgn0031698,head,hs,0.2021590573526617,2882,0.2021590573526617
4211,FBgn0029959,head,hs,0.13162994862068664,393,0.13162994862068664
4212,FBgn0027088,head,hs,0.15648414420480816,1845,0.15648414420480816
4213,FBgn0036515,head,hs,0.1614860596455315,2092,0.1614860596455315
4214,FBgn0028426,head,hs,0.12069692123737046,39,0.12069692123737046
4215,FBgn0038829,head,hs,0.1816771620967164,2317,0.1816771620967164
4216,FBgn0039483,head,hs,0.1503489317603376,693,0.1503489317603376
4217,FBgn0035402,head,hs,0.1333783409725279,435,0.1333783409725279
4218,FBgn0037063,head,hs,0.14445453749826354,790,0.14445453749826354
4219,FBgn0010341,head,hs,0.15398754339252083,1251,0.15398754339252083
4220,FBgn0040102,head,hs,0.1370862266284928,685,0.1370862266284928
4221,FBgn0000568,head,hs,0.24721925548288265,3646,0.24721925548288265
4222,FBgn0017578,head,hs,0.12544800258164696,251,0.12544800258164696
4223,FBgn0262976,head,hs,0.14381731237776166,682,0.14381731237776166
4224,FBgn0036534,head,hs,0.17094230759002307,1345,0.17094230759002307
4225,FBgn0029174,head,hs,0.149841042998716,1382,0.149841042998716
4226,FBgn0034718,head,hs,0.1412748636387833,960,0.1412748636387833
4227,FBgn0011293,head,hs,0.16341349727859247,357,0.16341349727859247
4228,FBgn0035771,head,hs,0.17314802050603992,1637,0.17314802050603992
4229,FBgn0000206,head,hs,0.16242737441601005,1066,0.16242737441601005
4230,FBgn0031888,head,hs,0.13122638993763266,429,0.13122638993763266
4231,FBgn0265630,head,hs,0.19054345294862218,2839,0.19054345294862218
4232,FBgn0036741,head,hs,0.14621051263657756,1391,0.14621051263657756
4233,FBgn0035356,head,hs,0.13883364094354006,1066,0.13883364094354006
4234,FBgn0034065,head,hs,0.13229838048414405,708,0.13229838048414405
4235,FBgn0029800,head,hs,0.1256943034270003,357,0.1256943034270003
4236,FBgn0011704,head,hs,0.14086551513142695,940,0.14086551513142695
4237,FBgn0004449,head,hs,0.2248071208694232,3474,0.2248071208694232
4238,FBgn0038593,head,hs,0.1230259869611672,164,0.1230259869611672
4239,FBgn0036547,head,hs,0.1932107221729028,2842,0.1932107221729028
4240,FBgn0030749,head,hs,0.12084017493952576,120,0.12084017493952576
4241,FBgn0031003,head,hs,0.12882368744238715,606,0.12882368744238715
4242,FBgn0022359,head,hs,0.12961241086511413,352,0.12961241086511413
4243,FBgn0036365,head,hs,0.16207736748271045,1454,0.16207736748271045
4244,FBgn0038475,head,hs,0.12589941527223694,419,0.12589941527223694
4245,FBgn0026441,head,hs,0.12755293509611643,461,0.12755293509611643
4246,FBgn0263289,head,hs,0.20810465147845095,3348,0.20810465147845095
4247,FBgn0034964,head,hs,0.12851291159919823,379,0.12851291159919823
4248,FBgn0032536,head,hs,0.16877227458444377,1941,0.16877227458444377
4249,FBgn0013750,head,hs,0.1634420990739409,1434,0.1634420990739409
4250,FBgn0013467,head,hs,0.2386955238253847,3723,0.2386955238253847
