tissue,Geneid,logFC,AveExpr,t,P.Value,adj.P.Val,B,HSvsC,SYMBOL
body,FBgn0024555,-0.09907306969014762,5.3929067053156325,-1.1353607018589873,0.2564033890491045,0.3325002339552181,-6.71490062241537,-0,flfl
body,FBgn0039274,-0.09259628832406364,5.438881227729548,-1.136149950645902,0.25607308791830735,0.3321374016076507,-6.7153888108207225,-0,CG11920
body,FBgn0011725,-0.09412134772163316,6.154063383697049,-1.290590104875808,0.19704231806698824,0.26590401879920267,-6.716699490789404,-0,twin
body,FBgn0262624,0.10857164486134785,3.764719841858429,0.5963346513566661,0.5510405710533532,0.6272533832866282,-6.716773054309062,0,Tmhs
body,FBgn0036446,-0.09859894536219338,4.1536350093256775,-0.7848213950040993,0.43268071497203586,0.5130780264102445,-6.717752893729328,-0,Mgat4a
body,FBgn0085242,0.07248988291802316,3.336062265485307,0.41045208139794287,0.6815322540545135,0.7441069405051437,-6.717907888447703,0,CG34213
body,FBgn0033761,0.09569428604078478,5.6987160569450825,1.1994279522049387,0.2305487026033659,0.3035211748387856,-6.718655613587033,0,CG8778
body,FBgn0033924,-0.08731117651101661,3.819673093966201,-0.6662793255418021,0.505333786910976,0.5831382316066773,-6.718759220085497,-0,CG8613
body,FBgn0039743,0.09976040014694298,4.700620163265382,0.9836901270865268,0.32542459994416106,0.40553196309130246,-6.7208283801685065,0,Jasper
body,FBgn0260861,0.10219004193373049,4.785306785464883,0.9508855444488851,0.3418138002883583,0.42227457274023,-6.7221379952834575,0,Trs23
body,FBgn0085443,-0.09343797769744011,4.562411879160064,-0.909046087792523,0.3634700539538539,0.44443642149508056,-6.722770360075566,-0,spri
body,FBgn0016081,0.09196145969215763,3.8770749961023743,0.7139580304557231,0.4753628553204984,0.5556462869577695,-6.722989999002198,0,fry
body,FBgn0067905,0.17866742315232376,4.724729654583279,0.8989902145415165,0.36880040232987177,0.4499501754584855,-6.72409605995532,0,Dso2
body,FBgn0038211,0.01294179573930787,3.213650959619232,0.07313986700103751,0.9417044498761544,0.9559506734154973,-6.72443190498172,0,CG9649
body,FBgn0032194,-0.09824658462927083,4.932531937522602,-1.0043152902240138,0.3153866752097194,0.3945183139012963,-6.726672499349953,-0,ath
body,FBgn0032348,0.00373026931270104,3.005909929450002,0.020149734146079276,0.9839265732917337,0.989228828480341,-6.728042867081359,0,CG4751
body,FBgn0085370,-0.09981121515784253,5.308978726446276,-1.1047628972357455,0.2694373599436473,0.3471434324038841,-6.730335252386532,-0,Pde11
body,FBgn0035336,-0.09915292871959913,4.059496686715926,-0.7287744874390155,0.46625199843274334,0.5462975802987312,-6.730612757595225,-0,CG9004
body,FBgn0011818,0.10917894507136072,5.1224768435469885,1.0514668065506008,0.29321154370172015,0.3715858761577398,-6.731404109300292,0,oaf
body,FBgn0037734,-0.038833482320221435,3.1693992758792477,-0.2355248356600934,0.8138331639990868,0.8555982232546754,-6.7315324539180965,-0,trbd
body,FBgn0015618,0.06475769764273842,3.2120244507023332,0.40562399841205304,0.6850760374597542,0.7474796785026288,-6.7327656580834665,0,Cdk8
body,FBgn0037809,0.07516701205896625,3.5069806839469715,0.48409313900107026,0.6283895778803154,0.6967273417873805,-6.733322702555937,0,CG12818
body,FBgn0036754,0.06902046631181546,3.4597880342703697,0.4454631530357141,0.6560485806482999,0.7210722825243557,-6.733722705724137,0,ais
body,FBgn0052451,0.09000594389291017,5.486776682353788,1.1260662113064717,0.26031542729202667,0.3370415928081054,-6.734541079531619,0,SPoCk
body,FBgn0029819,-0.09805829200656202,5.347826403473306,-1.1061373655171842,0.2688422776108538,0.3465804386530042,-6.735551332853813,-0,Usp30
body,FBgn0036688,-0.01820055221353556,2.964832155334955,-0.10259407489171318,0.9182986917302127,0.9368497411521263,-6.7364302478466405,-0,Fit2
body,FBgn0039302,-0.09607789239822129,6.435877245117627,-1.3351424187354477,0.18202985630986926,0.24875900563044476,-6.736825595058125,-0,Nup358
body,FBgn0261698,0.08566043277215218,3.97221826777431,0.6847456022624167,0.49360896668867693,0.5720783512415826,-6.738219826090592,0,SLO2
body,FBgn0259247,0.06915712351423942,3.5745783493531698,0.48589162228821664,0.6271141133410643,0.6959295761701044,-6.738249987460024,0,NA
body,FBgn0032168,-0.0904110916611276,3.912846793804721,-0.6779423967768282,0.4979115030027822,0.5762523836230722,-6.738891571330784,-0,CG13126
body,FBgn0259678,-0.08534091940931843,3.7844754041343047,-0.5733913580804461,0.5664646448402941,0.6409276504593555,-6.739005041041906,-0,sqa
body,FBgn0020412,-0.10631470154655176,5.112731959870283,-1.0539885299250222,0.29205584379501,0.37026397316290455,-6.739288925994834,-0,JIL-1
body,FBgn0035867,-0.045518734817862505,3.101487650980138,-0.25658940716496237,0.7975305118796243,0.8431769527524774,-6.739462730241176,-0,CG13671
body,FBgn0035714,-0.09799296664188795,4.580285037658708,-0.8846041402001592,0.3765102168054454,0.4574891326150423,-6.7406750400340165,-0,Sbds
body,FBgn0037282,0.07767919527001643,3.6586599837131475,0.5455800357408639,0.5854347825145119,0.6582012531741204,-6.741122554224147,0,CG14657
body,FBgn0038722,0.1002622174454233,5.055902889235719,1.0294349536830103,0.303439271803614,0.3816787779993431,-6.743049341956679,0,Nup58
body,FBgn0034052,-0.1687097831964075,4.113404796038737,-0.7797826204656579,0.43564035740919005,0.5158960904597215,-6.74371159445404,-0,CG8299
