	direction	Gene	Degree	Average	Sum	B1	B2	B3	B4	B5	B6
3816	decohere	FBgn0045866	583	0.21083762993271288	122.91833825077161	67	12	7	3	1	1
4521	decohere	FBgn0035422	582	0.2062515168658451	120.03838281592186	54	34	2	1	1	1
4231	decohere	FBgn0261606	582	0.17872201710229735	104.01621395353706	180	2	2	1	1	1
226	decohere	FBgn0000447	580	0.2003031661838361	116.17583638662494	100	8	8	3	1	1
3180	decohere	FBgn0030362	572	0.2283351439655854	130.60770234831486	140	29	2	1	1	1
597	decohere	FBgn0029897	571	0.17718489333248263	101.17257409284758	54	34	2	1	1	1
3745	decohere	FBgn0013733	570	0.2161763759177533	123.22053427311938	147	11	4	3	1	1
5837	decohere	FBgn0266268	569	0.1571659454882307	89.42742298280328	25	20	8	3	1	1
2960	decohere	FBgn0261068	568	0.21516519123769795	122.21382862301243	100	8	8	3	1	1
2845	decohere	FBgn0030674	568	0.20284291623496803	115.21477642146183	10	9	9	2	0	0
4993	decohere	FBgn0035529	567	0.2304714353627048	130.67730385065363	68	30	13	0	0	0
4752	decohere	FBgn0040793	567	0.1816523542369643	102.99688485235876	54	34	2	1	1	1
2781	decohere	FBgn0261793	562	0.22628523219901603	127.17230049584701	97	9	9	2	0	0
2105	decohere	FBgn0028342	562	0.19483967690555698	109.49989842092302	52	2	2	1	1	1
899	decohere	FBgn0015245	562	0.17045619117158575	95.79637943843119	25	20	8	3	1	1
3966	decohere	FBgn0031459	560	0.22204964400328017	124.3478006418369	170	40	7	3	1	1
4516	decohere	FBgn0033178	560	0.18680266086455624	104.6094900841515	25	20	8	3	1	1
3923	decohere	FBgn0261403	559	0.20421870210699175	114.15825447780838	16	14	9	2	0	0
719	decohere	FBgn0014184	559	0.20036564884200397	112.00439770268022	156	37	4	3	1	1
2201	decohere	FBgn0029687	559	0.18520095146802795	103.52733187062762	158	14	9	2	0	0
5257	decohere	FBgn0050499	555	0.2415967350994187	134.08618798017739	53	20	8	3	1	1
965	decohere	FBgn0036622	555	0.21998695925047798	122.09276238401527	125	29	2	1	1	1
5559	decohere	FBgn0003062	554	0.17193979000572415	95.25464366317118	140	29	2	1	1	1
1539	decohere	FBgn0027088	554	0.16058330355071462	88.9631501670959	25	20	8	3	1	1
1163	decohere	FBgn0032138	552	0.1823156071152435	100.63821512761442	144	21	7	3	1	1
6226	decohere	FBgn0010612	552	0.17132117768795813	94.56929008375289	180	2	2	1	1	1
3186	decohere	FBgn0030292	550	0.16899113355431858	92.94512345487522	170	40	7	3	1	1
1016	decohere	FBgn0031312	549	0.19225866256408483	105.55000574768258	68	30	13	0	0	0
5894	decohere	FBgn0086443	549	0.189533844892965	104.05408084623778	144	21	7	3	1	1
3969	decohere	FBgn0025640	546	0.21155933673390362	115.51139785671137	155	29	2	1	1	1
2573	decohere	FBgn0029148	545	0.20609450529247064	112.3215053843965	170	40	7	3	1	1
6106	decohere	FBgn0030049	545	0.18976039071999926	103.41941294239959	133	3	3	2	0	0
120	decohere	FBgn0037270	538	0.18992343287462504	102.17880688654827	67	12	7	3	1	1
2748	decohere	FBgn0027329	537	0.22092866750304674	118.6386944491361	25	20	8	3	1	1
1868	decohere	FBgn0033757	537	0.22058654291485671	118.45497354527805	177	13	9	2	0	0
1622	decohere	FBgn0026262	537	0.17855104954475665	95.88191360553432	10	9	9	2	0	0
5822	decohere	FBgn0000239	535	0.1935453615213985	103.5467684139482	10	9	9	2	0	0
1060	decohere	FBgn0039219	534	0.15777470315599135	84.25169148529938	100	8	8	3	1	1
682	decohere	FBgn0039697	532	0.23653818802978696	125.83831603184666	52	2	2	1	1	1
5856	decohere	FBgn0266019	529	0.1981656141768981	104.8296098995791	147	11	4	3	1	1
1036	decohere	FBgn0033191	529	0.15562285636653406	82.32449101789652	102	22	8	3	1	1
1027	decohere	FBgn0259242	528	0.15226869879034308	80.39787296130115	5	4	4	3	1	1
2768	decohere	FBgn0029785	527	0.18185509659738122	95.8376359068199	141	34	2	1	1	1
4811	decohere	FBgn0037024	525	0.2286785468433428	120.05623709275497	67	12	7	3	1	1
653	decohere	FBgn0016685	524	0.18843166103428224	98.73819038196389	126	7	7	3	1	1
6024	decohere	FBgn0032216	524	0.18731956368015495	98.1554513684012	163	30	13	0	0	0
541	decohere	FBgn0034724	522	0.22012605080247863	114.90579851889385	140	29	2	1	1	1
5590	decohere	FBgn0036135	522	0.19856110694123547	103.64889782332492	155	29	2	1	1	1
3061	decohere	FBgn0083167	522	0.1770514456143844	92.42085461070866	180	2	2	1	1	1
3599	decohere	FBgn0033184	521	0.1936742057728345	100.90426120764678	100	8	8	3	1	1
1908	decohere	FBgn0031357	520	0.22113853940347558	114.99204048980731	100	8	8	3	1	1
4879	decohere	FBgn0036007	518	0.15322684171889558	79.37150401038791	158	14	9	2	0	0
2095	decohere	FBgn0034528	517	0.2117259492912639	109.46231578358343	10	9	9	2	0	0
3910	decohere	FBgn0259735	517	0.1854896078926519	95.89812728050103	10	9	9	2	0	0
3608	decohere	FBgn0016726	517	0.16021772582767818	82.83256425290962	141	34	2	1	1	1
1178	decohere	FBgn0019624	515	0.21297597416638123	109.68262669568634	87	33	1	1	1	1
6550	decohere	FBgn0035334	515	0.186250294082372	95.91890145242158	155	29	2	1	1	1
3093	decohere	FBgn0039229	515	0.15275349397427637	78.66804939675234	109	30	13	0	0	0
2825	decohere	FBgn0260794	512	0.24198572444231037	123.89669091446291	97	9	9	2	0	0
5617	decohere	FBgn0000173	512	0.1633935574876923	83.65750143369846	5	4	4	3	1	1
5790	decohere	FBgn0032987	511	0.1637858898446023	83.69458971059177	141	34	2	1	1	1
1679	decohere	FBgn0264492	510	0.22704166638404658	115.79124985586375	177	13	9	2	0	0
3871	decohere	FBgn0036428	509	0.22962031036228364	116.87673797440237	16	14	9	2	0	0
2393	decohere	FBgn0034645	509	0.19683216773991746	100.18757337961799	180	2	2	1	1	1
3764	decohere	FBgn0039150	509	0.18682042601399984	95.09159684112592	68	30	13	0	0	0
5685	decohere	FBgn0034362	508	0.16792581001747786	85.30631148887875	53	20	8	3	1	1
759	decohere	FBgn0034743	507	0.18724216104924551	94.93177565196747	141	34	2	1	1	1
1656	decohere	FBgn0040660	507	0.17509239645402136	88.77184500218883	170	40	7	3	1	1
67	decohere	FBgn0029868	506	0.23534145928105618	119.08277839621442	52	2	2	1	1	1
2110	decohere	FBgn0001215	505	0.17553533765369858	88.64534551511778	109	30	13	0	0	0
5283	decohere	FBgn0026179	505	0.15482056274767558	78.18438418757617	16	14	9	2	0	0
5098	decohere	FBgn0278608	503	0.19584379107365674	98.50942691004934	10	9	9	2	0	0
1955	decohere	FBgn0266521	498	0.17436015635363877	86.8313578641121	158	14	9	2	0	0
6296	decohere	FBgn0029092	498	0.16910528146149734	84.21443016782567	16	14	9	2	0	0
17	decohere	FBgn0052423	496	0.2079992579128317	103.16763192476452	16	14	9	2	0	0
2178	decohere	FBgn0015222	493	0.21519840842113833	106.0928153516212	87	33	1	1	1	1
3072	decohere	FBgn0004198	491	0.18927128901434667	92.93220290604421	64	11	4	3	1	1
1841	decohere	FBgn0036106	488	0.20846314816506675	101.73001630455258	172	1	1	1	1	1
6292	decohere	FBgn0250823	488	0.18115150247723982	88.40193320889303	10	9	9	2	0	0
4183	decohere	FBgn0261597	488	0.17232270057537416	84.09347788078259	141	34	2	1	1	1
5699	decohere	FBgn0003943	488	0.15209022735308464	74.22003094830531	25	20	8	3	1	1
1935	decohere	FBgn0003231	487	0.1524226656087298	74.22983815145142	166	17	10	0	0	0
837	decohere	FBgn0037636	486	0.20849207651715146	101.3271491873356	10	9	9	2	0	0
5379	decohere	FBgn0028988	484	0.14017116538392882	67.84284404582155	144	21	7	3	1	1
4379	decohere	FBgn0000117	479	0.15453855728459573	74.02396893932135	166	17	10	0	0	0
4627	decohere	FBgn0265523	478	0.1746619210475249	83.4883982607169	97	9	9	2	0	0
5521	decohere	FBgn0035252	476	0.23450398193506436	111.62389540109064	140	29	2	1	1	1
5864	decohere	FBgn0035665	475	0.17315768743474133	82.24990153150213	125	29	2	1	1	1
6407	decohere	FBgn0031118	473	0.21793592625667646	103.08369311940797	115	3	3	2	0	0
3668	decohere	FBgn0035909	473	0.18819450695517684	89.01600178979865	5	4	4	3	1	1
5666	decohere	FBgn0000115	472	0.2276950561121244	107.47206648492272	98	12	7	3	1	1
4132	decohere	FBgn0000308	472	0.173549620164625	81.915420717703	5	4	4	3	1	1
3094	decohere	FBgn0051373	471	0.2141316811861966	100.8560218386986	140	29	2	1	1	1
4951	decohere	FBgn0261995	471	0.20812216067479225	98.02553767782715	67	12	7	3	1	1
769	decohere	FBgn0035964	471	0.2079582551094949	97.94833815657209	102	22	8	3	1	1
5577	decohere	FBgn0263852	471	0.19685884810040405	92.7205174552903	98	12	7	3	1	1
1345	decohere	FBgn0035588	471	0.164699630239075	77.57352584260433	48	21	7	3	1	1
513	decohere	FBgn0032015	470	0.20155621172910676	94.73141951268018	98	12	7	3	1	1
3355	decohere	FBgn0033961	469	0.15762464285157143	73.925957497387	170	40	7	3	1	1
2608	decohere	FBgn0010408	469	0.14193273298708795	66.56645177094424	126	7	7	3	1	1
3605	decohere	FBgn0040010	468	0.2150353972335827	100.6365659053167	177	13	9	2	0	0
1320	decohere	FBgn0027084	468	0.19636162748660901	91.89724166373301	25	20	8	3	1	1
579	decohere	FBgn0040339	468	0.18538515129640332	86.76025080671675	68	30	13	0	0	0
2130	decohere	FBgn0036030	468	0.15180702379653688	71.04568713677926	5	4	4	3	1	1
11	decohere	FBgn0044826	465	0.19530052307312004	90.81474322900083	10	9	9	2	0	0
5519	decohere	FBgn0038658	464	0.21356053964788027	99.09209039661644	172	1	1	1	1	1
2959	decohere	FBgn0030672	463	0.17371893173014763	80.43186539105835	16	14	9	2	0	0
6040	decohere	FBgn0027590	462	0.20492677723551472	94.6761710828078	87	33	1	1	1	1
1222	decohere	FBgn0030366	459	0.18469960341886993	84.7771179692613	10	9	9	2	0	0
2109	decohere	FBgn0032407	459	0.1845101065750358	84.69013891794144	155	29	2	1	1	1
262	decohere	FBgn0027868	459	0.17480712087991102	80.23646848387915	68	30	13	0	0	0
6438	decohere	FBgn0062928	459	0.14558284667269697	66.82252662276791	53	20	8	3	1	1
4745	decohere	FBgn0003165	458	0.2146528406863473	98.31100103434706	97	9	9	2	0	0
934	decohere	FBgn0266186	453	0.16328094452040565	73.96626786774375	102	22	8	3	1	1
68	decohere	FBgn0011768	453	0.16062993436602607	72.76536026780981	53	20	8	3	1	1
4640	decohere	FBgn0016977	452	0.1939193283119421	87.65153639699784	133	3	3	2	0	0
2780	decohere	FBgn0250815	449	0.16862557304338335	75.71288229647912	125	29	2	1	1	1
3160	decohere	FBgn0039156	449	0.15320743050487942	68.79013629669086	102	22	8	3	1	1
3646	decohere	FBgn0036515	448	0.2427854794966991	108.7678948145212	53	20	8	3	1	1
1995	decohere	FBgn0038400	448	0.1807825287475664	80.99057287890975	155	29	2	1	1	1
4022	decohere	FBgn0036824	448	0.15928690260127	71.36053236536895	124	17	10	0	0	0
910	decohere	FBgn0001995	447	0.23162174160475815	103.5349184973269	100	8	8	3	1	1
224	decohere	FBgn0040064	447	0.17117977929061529	76.51736134290503	67	12	7	3	1	1
6489	decohere	FBgn0034654	446	0.18048087963374565	80.49447231665056	67	12	7	3	1	1
624	decohere	FBgn0031453	445	0.1623883373935569	72.26281014013283	147	11	4	3	1	1
5946	decohere	FBgn0031662	444	0.2043196989819154	90.71794634797044	100	8	8	3	1	1
2136	decohere	FBgn0262730	443	0.19509727612068237	86.42809332146228	115	3	3	2	0	0
6410	decohere	FBgn0029979	441	0.23273442777285566	102.63588264782935	133	3	3	2	0	0
481	decohere	FBgn0032586	441	0.17429833010401843	76.86556357587213	16	14	9	2	0	0
4372	decohere	FBgn0022343	440	0.1454853877534084	64.0135706114997	100	8	8	3	1	1
5812	decohere	FBgn0029888	439	0.22333633741270723	98.04465212417847	52	2	2	1	1	1
2972	decohere	FBgn0262601	438	0.22388531564994152	98.06176825467439	132	7	7	3	1	1
6498	decohere	FBgn0263911	438	0.19196445019017583	84.08042918329701	180	2	2	1	1	1
297	decohere	FBgn0032833	437	0.1902231867636371	83.12753261570941	87	33	1	1	1	1
5457	decohere	FBgn0001248	433	0.21452479827187995	92.88923765172402	155	29	2	1	1	1
6234	decohere	FBgn0003449	433	0.1642511230048806	71.1207362611133	53	20	8	3	1	1
2440	decohere	FBgn0015282	433	0.15188994010933612	65.76834406734254	124	17	10	0	0	0
2854	decohere	FBgn0004045	432	0.196835453826046	85.03291605285187	87	33	1	1	1	1
4426	decohere	FBgn0023458	431	0.20653257089474472	89.01553805563498	10	9	9	2	0	0
